"","SampleNumber","Species","Island","CulmenLenght","CulmenDepth","FlipperLength","BodyMass","Sex","Delta15N","Delta13C"
"168",22,"Gentoo penguin (Pygoscelis papua)","Biscoe",45.1,14.5,215,5000,"FEMALE",7.6322,-25.46569
"169",23,"Gentoo penguin (Pygoscelis papua)","Biscoe",46.5,14.5,213,4400,"FEMALE",7.90436,-25.3947
"170",24,"Gentoo penguin (Pygoscelis papua)","Biscoe",46.3,15.8,215,5050,"MALE",7.90971,-25.38157
"171",25,"Gentoo penguin (Pygoscelis papua)","Biscoe",42.9,13.1,215,5000,"FEMALE",7.68528,-25.39181
"172",26,"Gentoo penguin (Pygoscelis papua)","Biscoe",46.1,15.1,215,5100,"MALE",7.83733,-25.42826
"173",28,"Gentoo penguin (Pygoscelis papua)","Biscoe",47.8,15,215,5650,"MALE",7.92358,-25.48383
"174",29,"Gentoo penguin (Pygoscelis papua)","Biscoe",48.2,14.3,210,4600,"FEMALE",7.6887,-25.50811
"175",30,"Gentoo penguin (Pygoscelis papua)","Biscoe",50,15.3,220,5550,"MALE",8.30515,-25.19017
"176",31,"Gentoo penguin (Pygoscelis papua)","Biscoe",47.3,15.3,222,5250,"MALE",NA,NA
"177",32,"Gentoo penguin (Pygoscelis papua)","Biscoe",42.8,14.2,209,4700,"FEMALE",7.63452,-25.46327
"178",33,"Gentoo penguin (Pygoscelis papua)","Biscoe",45.1,14.5,207,5050,"FEMALE",7.97408,-25.53768
"179",34,"Gentoo penguin (Pygoscelis papua)","Biscoe",59.6,17,230,6050,"MALE",7.76843,-25.6821
"180",35,"Gentoo penguin (Pygoscelis papua)","Biscoe",49.1,14.8,220,5150,"FEMALE",7.89744,-26.63405
"181",36,"Gentoo penguin (Pygoscelis papua)","Biscoe",48.4,16.3,220,5400,"MALE",8.03659,-26.86127
"182",37,"Gentoo penguin (Pygoscelis papua)","Biscoe",42.6,13.7,213,4950,"FEMALE",7.96935,-26.70968
"183",38,"Gentoo penguin (Pygoscelis papua)","Biscoe",44.4,17.3,219,5250,"MALE",8.13746,-26.79093
"184",39,"Gentoo penguin (Pygoscelis papua)","Biscoe",44,13.6,208,4350,"FEMALE",8.01979,-26.68311
"185",40,"Gentoo penguin (Pygoscelis papua)","Biscoe",48.7,15.7,208,5350,"MALE",8.14776,-26.84506
"186",41,"Gentoo penguin (Pygoscelis papua)","Biscoe",42.7,13.7,208,3950,"FEMALE",8.14567,-26.59467
"187",42,"Gentoo penguin (Pygoscelis papua)","Biscoe",49.6,16,225,5700,"MALE",8.38324,-26.84272
"188",43,"Gentoo penguin (Pygoscelis papua)","Biscoe",45.3,13.7,210,4300,"FEMALE",8.37615,-26.72791
"189",44,"Gentoo penguin (Pygoscelis papua)","Biscoe",49.6,15,216,4750,"MALE",8.26548,-26.7699
"190",45,"Gentoo penguin (Pygoscelis papua)","Biscoe",50.5,15.9,222,5550,"MALE",8.46894,-26.60436
"191",46,"Gentoo penguin (Pygoscelis papua)","Biscoe",43.6,13.9,217,4900,"FEMALE",8.27141,-26.7765
"192",47,"Gentoo penguin (Pygoscelis papua)","Biscoe",45.5,13.9,210,4200,"FEMALE",8.47829,-26.61788
"193",48,"Gentoo penguin (Pygoscelis papua)","Biscoe",50.5,15.9,225,5400,"MALE",8.65803,-26.57585
"194",49,"Gentoo penguin (Pygoscelis papua)","Biscoe",44.9,13.3,213,5100,"FEMALE",8.45167,-26.89644
"195",50,"Gentoo penguin (Pygoscelis papua)","Biscoe",45.2,15.8,215,5300,"MALE",8.55868,-26.67799
"196",51,"Gentoo penguin (Pygoscelis papua)","Biscoe",46.6,14.2,210,4850,"FEMALE",8.38289,-26.86352
"197",52,"Gentoo penguin (Pygoscelis papua)","Biscoe",48.5,14.1,220,5300,"MALE",8.39867,-26.79358
"198",53,"Gentoo penguin (Pygoscelis papua)","Biscoe",45.1,14.4,210,4400,"FEMALE",8.51951,-27.01854
"199",54,"Gentoo penguin (Pygoscelis papua)","Biscoe",50.1,15,225,5000,"MALE",8.50153,-26.61414
"200",55,"Gentoo penguin (Pygoscelis papua)","Biscoe",46.5,14.4,217,4900,"FEMALE",8.48789,-26.83006
"201",56,"Gentoo penguin (Pygoscelis papua)","Biscoe",45,15.4,220,5050,"MALE",8.63488,-26.75621
"202",57,"Gentoo penguin (Pygoscelis papua)","Biscoe",43.8,13.9,208,4300,"FEMALE",8.58319,-26.84415
"203",58,"Gentoo penguin (Pygoscelis papua)","Biscoe",45.5,15,220,5000,"MALE",8.63604,-26.7489
"204",59,"Gentoo penguin (Pygoscelis papua)","Biscoe",43.2,14.5,208,4450,"FEMALE",8.48367,-26.86485
"205",60,"Gentoo penguin (Pygoscelis papua)","Biscoe",50.4,15.3,224,5550,"MALE",8.74647,-26.79846
"206",61,"Gentoo penguin (Pygoscelis papua)","Biscoe",45.3,13.8,208,4200,"FEMALE",8.65015,-26.79053
"207",62,"Gentoo penguin (Pygoscelis papua)","Biscoe",46.2,14.9,221,5300,"MALE",8.60092,-26.84374
"208",63,"Gentoo penguin (Pygoscelis papua)","Biscoe",45.7,13.9,214,4400,"FEMALE",8.6287,-26.60484
"209",64,"Gentoo penguin (Pygoscelis papua)","Biscoe",54.3,15.7,231,5650,"MALE",8.49662,-26.84166
"210",65,"Gentoo penguin (Pygoscelis papua)","Biscoe",45.8,14.2,219,4700,"FEMALE",8.60447,-26.61601
"211",66,"Gentoo penguin (Pygoscelis papua)","Biscoe",49.8,16.8,230,5700,"MALE",8.47067,-26.69166
"212",68,"Gentoo penguin (Pygoscelis papua)","Biscoe",49.5,16.2,229,5800,"MALE",8.49854,-26.74809
"213",69,"Gentoo penguin (Pygoscelis papua)","Biscoe",43.5,14.2,220,4700,"FEMALE",8.64931,-26.68867
"214",70,"Gentoo penguin (Pygoscelis papua)","Biscoe",50.7,15,223,5550,"MALE",8.63551,-26.74249
"215",71,"Gentoo penguin (Pygoscelis papua)","Biscoe",47.7,15,216,4750,"FEMALE",8.53018,-26.72751
"216",72,"Gentoo penguin (Pygoscelis papua)","Biscoe",46.4,15.6,221,5000,"MALE",8.35078,-26.70783
"217",73,"Gentoo penguin (Pygoscelis papua)","Biscoe",48.2,15.6,221,5100,"MALE",8.24651,-26.66958
"218",74,"Gentoo penguin (Pygoscelis papua)","Biscoe",46.5,14.8,217,5200,"FEMALE",8.58487,-26.5929
"219",75,"Gentoo penguin (Pygoscelis papua)","Biscoe",46.4,15,216,4700,"FEMALE",8.47938,-26.9547
"220",76,"Gentoo penguin (Pygoscelis papua)","Biscoe",48.6,16,230,5800,"MALE",8.5964,-26.71199
"221",77,"Gentoo penguin (Pygoscelis papua)","Biscoe",47.5,14.2,209,4600,"FEMALE",8.39299,-26.78733
"222",78,"Gentoo penguin (Pygoscelis papua)","Biscoe",51.1,16.3,220,6000,"MALE",8.40327,-26.76821
"223",79,"Gentoo penguin (Pygoscelis papua)","Biscoe",45.2,13.8,215,4750,"FEMALE",8.24694,-26.65359
"224",80,"Gentoo penguin (Pygoscelis papua)","Biscoe",45.2,16.4,223,5950,"MALE",8.19749,-26.65931
"225",81,"Gentoo penguin (Pygoscelis papua)","Biscoe",49.1,14.5,212,4625,"FEMALE",8.35802,-26.2766
"226",82,"Gentoo penguin (Pygoscelis papua)","Biscoe",52.5,15.6,221,5450,"MALE",8.28601,-26.27573
"227",83,"Gentoo penguin (Pygoscelis papua)","Biscoe",47.4,14.6,212,4725,"FEMALE",8.19101,-26.24369
"228",84,"Gentoo penguin (Pygoscelis papua)","Biscoe",50,15.9,224,5350,"MALE",8.20042,-26.39677
"229",85,"Gentoo penguin (Pygoscelis papua)","Biscoe",44.9,13.8,212,4750,"FEMALE",8.11238,-26.20372
"230",86,"Gentoo penguin (Pygoscelis papua)","Biscoe",50.8,17.3,228,5600,"MALE",8.27428,-26.30019
"231",87,"Gentoo penguin (Pygoscelis papua)","Biscoe",43.4,14.4,218,4600,"FEMALE",8.23468,-26.18599
"232",88,"Gentoo penguin (Pygoscelis papua)","Biscoe",51.3,14.2,218,5300,"MALE",8.15426,-26.3433
"233",89,"Gentoo penguin (Pygoscelis papua)","Biscoe",47.5,14,212,4875,"FEMALE",8.12691,-26.23613
"234",90,"Gentoo penguin (Pygoscelis papua)","Biscoe",52.1,17,230,5550,"MALE",8.27595,-26.11657
"235",91,"Gentoo penguin (Pygoscelis papua)","Biscoe",47.5,15,218,4950,"FEMALE",8.29671,-26.08547
"236",92,"Gentoo penguin (Pygoscelis papua)","Biscoe",52.2,17.1,228,5400,"MALE",8.36701,-25.89834
"237",93,"Gentoo penguin (Pygoscelis papua)","Biscoe",45.5,14.5,212,4750,"FEMALE",8.15566,-26.22848
"238",94,"Gentoo penguin (Pygoscelis papua)","Biscoe",49.5,16.1,224,5650,"MALE",8.83352,-25.69195
"239",95,"Gentoo penguin (Pygoscelis papua)","Biscoe",44.5,14.7,214,4850,"FEMALE",8.20106,-26.16524
"240",96,"Gentoo penguin (Pygoscelis papua)","Biscoe",50.8,15.7,226,5200,"MALE",8.27102,-26.11244
"241",97,"Gentoo penguin (Pygoscelis papua)","Biscoe",49.4,15.8,216,4925,"MALE",8.03624,-26.06594
"242",98,"Gentoo penguin (Pygoscelis papua)","Biscoe",46.9,14.6,222,4875,"FEMALE",7.8881,-26.04726
"243",99,"Gentoo penguin (Pygoscelis papua)","Biscoe",48.4,14.4,203,4625,"FEMALE",8.16582,-26.13971
"244",100,"Gentoo penguin (Pygoscelis papua)","Biscoe",51.1,16.5,225,5250,"MALE",8.2066,-26.36863
"245",101,"Gentoo penguin (Pygoscelis papua)","Biscoe",48.5,15,219,4850,"FEMALE",8.10231,-26.18763
"246",102,"Gentoo penguin (Pygoscelis papua)","Biscoe",55.9,17,228,5600,"MALE",8.3118,-26.35425
"247",103,"Gentoo penguin (Pygoscelis papua)","Biscoe",47.2,15.5,215,4975,"FEMALE",8.30817,-26.21651
"248",104,"Gentoo penguin (Pygoscelis papua)","Biscoe",49.1,15,228,5500,"MALE",8.65914,-25.79203
"249",106,"Gentoo penguin (Pygoscelis papua)","Biscoe",46.8,16.1,215,5500,"MALE",8.32359,-26.05756
"250",107,"Gentoo penguin (Pygoscelis papua)","Biscoe",41.7,14.7,210,4700,"FEMALE",8.12311,-26.44815
"251",108,"Gentoo penguin (Pygoscelis papua)","Biscoe",53.4,15.8,219,5500,"MALE",8.41017,-26.33867
"252",109,"Gentoo penguin (Pygoscelis papua)","Biscoe",43.3,14,208,4575,"FEMALE",8.4207,-26.38092
"253",110,"Gentoo penguin (Pygoscelis papua)","Biscoe",48.1,15.1,209,5500,"MALE",8.45738,-26.22664
"254",111,"Gentoo penguin (Pygoscelis papua)","Biscoe",50.5,15.2,216,5000,"FEMALE",8.24691,-26.18466
"255",112,"Gentoo penguin (Pygoscelis papua)","Biscoe",49.8,15.9,229,5950,"MALE",8.29226,-26.21019
"256",113,"Gentoo penguin (Pygoscelis papua)","Biscoe",43.5,15.2,213,4650,"FEMALE",8.21634,-26.11046
"257",114,"Gentoo penguin (Pygoscelis papua)","Biscoe",51.5,16.3,230,5500,"MALE",8.78557,-25.76147
"258",115,"Gentoo penguin (Pygoscelis papua)","Biscoe",46.2,14.1,217,4375,"FEMALE",8.30231,-25.96013
"259",116,"Gentoo penguin (Pygoscelis papua)","Biscoe",55.1,16,230,5850,"MALE",8.08354,-26.18161
"260",118,"Gentoo penguin (Pygoscelis papua)","Biscoe",48.8,16.2,222,6000,"MALE",8.33825,-25.88547
"261",119,"Gentoo penguin (Pygoscelis papua)","Biscoe",47.2,13.7,214,4925,"FEMALE",7.99184,-26.20538
"262",121,"Gentoo penguin (Pygoscelis papua)","Biscoe",46.8,14.3,215,4850,"FEMALE",8.41151,-26.13832
"263",122,"Gentoo penguin (Pygoscelis papua)","Biscoe",50.4,15.7,222,5750,"MALE",8.30166,-26.04117
"264",123,"Gentoo penguin (Pygoscelis papua)","Biscoe",45.2,14.8,212,5200,"FEMALE",8.24246,-26.11969
"265",124,"Gentoo penguin (Pygoscelis papua)","Biscoe",49.9,16.1,213,5400,"MALE",8.3639,-26.15531
"266",1,"Chinstrap penguin (Pygoscelis antarctica)","Dream",46.5,17.9,192,3500,"FEMALE",9.03935,-24.30229
"267",2,"Chinstrap penguin (Pygoscelis antarctica)","Dream",50,19.5,196,3900,"MALE",8.92069,-24.23592
"268",3,"Chinstrap penguin (Pygoscelis antarctica)","Dream",51.3,19.2,193,3650,"MALE",9.29078,-24.7557
"269",4,"Chinstrap penguin (Pygoscelis antarctica)","Dream",45.4,18.7,188,3525,"FEMALE",8.64701,-24.62717
"270",5,"Chinstrap penguin (Pygoscelis antarctica)","Dream",52.7,19.8,197,3725,"MALE",9.00642,-24.61867
"271",6,"Chinstrap penguin (Pygoscelis antarctica)","Dream",45.2,17.8,198,3950,"FEMALE",8.88942,-24.49433
"272",7,"Chinstrap penguin (Pygoscelis antarctica)","Dream",46.1,18.2,178,3250,"FEMALE",8.85664,-24.55644
"273",8,"Chinstrap penguin (Pygoscelis antarctica)","Dream",51.3,18.2,197,3750,"MALE",8.63701,-24.84059
"274",9,"Chinstrap penguin (Pygoscelis antarctica)","Dream",46,18.9,195,4150,"FEMALE",8.47173,-24.29229
"275",10,"Chinstrap penguin (Pygoscelis antarctica)","Dream",51.3,19.9,198,3700,"MALE",8.79581,-24.36088
"276",11,"Chinstrap penguin (Pygoscelis antarctica)","Dream",46.6,17.8,193,3800,"FEMALE",8.95063,-24.59897
"277",12,"Chinstrap penguin (Pygoscelis antarctica)","Dream",51.7,20.3,194,3775,"MALE",8.68747,-24.38751
"278",13,"Chinstrap penguin (Pygoscelis antarctica)","Dream",47,17.3,185,3700,"FEMALE",8.72037,-24.80526
"279",14,"Chinstrap penguin (Pygoscelis antarctica)","Dream",52,18.1,201,4050,"MALE",9.0233,-24.38933
"280",15,"Chinstrap penguin (Pygoscelis antarctica)","Dream",45.9,17.1,190,3575,"FEMALE",9.12277,-24.90024
"281",16,"Chinstrap penguin (Pygoscelis antarctica)","Dream",50.5,19.6,201,4050,"MALE",9.8059,-24.7294
"282",17,"Chinstrap penguin (Pygoscelis antarctica)","Dream",50.3,20,197,3300,"MALE",10.02019,-24.54704
"283",18,"Chinstrap penguin (Pygoscelis antarctica)","Dream",58,17.8,181,3700,"FEMALE",9.14382,-24.57994
"284",19,"Chinstrap penguin (Pygoscelis antarctica)","Dream",46.4,18.6,190,3450,"FEMALE",9.32105,-24.64162
"285",20,"Chinstrap penguin (Pygoscelis antarctica)","Dream",49.2,18.2,195,4400,"MALE",9.27158,-24.64335
"286",21,"Chinstrap penguin (Pygoscelis antarctica)","Dream",42.4,17.3,181,3600,"FEMALE",9.35138,-24.6879
"287",22,"Chinstrap penguin (Pygoscelis antarctica)","Dream",48.5,17.5,191,3400,"MALE",9.42666,-24.26375
"288",23,"Chinstrap penguin (Pygoscelis antarctica)","Dream",43.2,16.6,187,2900,"FEMALE",9.35416,-25.01185
"289",24,"Chinstrap penguin (Pygoscelis antarctica)","Dream",50.6,19.4,193,3800,"MALE",9.28153,-24.97134
"290",25,"Chinstrap penguin (Pygoscelis antarctica)","Dream",46.7,17.9,195,3300,"FEMALE",9.74144,-24.59467
"291",26,"Chinstrap penguin (Pygoscelis antarctica)","Dream",52,19,197,4150,"MALE",9.36799,-24.47142
"292",27,"Chinstrap penguin (Pygoscelis antarctica)","Dream",50.5,18.4,200,3400,"FEMALE",8.9399,-23.89017
"293",28,"Chinstrap penguin (Pygoscelis antarctica)","Dream",49.5,19,200,3800,"MALE",9.63074,-24.34684
"294",29,"Chinstrap penguin (Pygoscelis antarctica)","Dream",46.4,17.8,191,3700,"FEMALE",9.37369,-24.52896
"295",30,"Chinstrap penguin (Pygoscelis antarctica)","Dream",52.8,20,205,4550,"MALE",9.25177,-24.69638
"296",31,"Chinstrap penguin (Pygoscelis antarctica)","Dream",40.9,16.6,187,3200,"FEMALE",9.08458,-24.54903
"297",32,"Chinstrap penguin (Pygoscelis antarctica)","Dream",54.2,20.8,201,4300,"MALE",9.49283,-24.59996
"298",33,"Chinstrap penguin (Pygoscelis antarctica)","Dream",42.5,16.7,187,3350,"FEMALE",9.36668,-24.45195
"299",34,"Chinstrap penguin (Pygoscelis antarctica)","Dream",51,18.8,203,4100,"MALE",9.23196,-24.17282
"300",35,"Chinstrap penguin (Pygoscelis antarctica)","Dream",49.7,18.6,195,3600,"MALE",9.75486,-24.31198
"301",36,"Chinstrap penguin (Pygoscelis antarctica)","Dream",47.5,16.8,199,3900,"FEMALE",9.07825,-25.1455
"302",37,"Chinstrap penguin (Pygoscelis antarctica)","Dream",47.6,18.3,195,3850,"FEMALE",8.83502,-24.65859
"303",38,"Chinstrap penguin (Pygoscelis antarctica)","Dream",52,20.7,210,4800,"MALE",9.43146,-24.6844
"304",39,"Chinstrap penguin (Pygoscelis antarctica)","Dream",46.9,16.6,192,2700,"FEMALE",9.80589,-24.73735
"305",40,"Chinstrap penguin (Pygoscelis antarctica)","Dream",53.5,19.9,205,4500,"MALE",10.02544,-24.90816
"306",41,"Chinstrap penguin (Pygoscelis antarctica)","Dream",49,19.5,210,3950,"MALE",9.53262,-24.66867
"307",42,"Chinstrap penguin (Pygoscelis antarctica)","Dream",46.2,17.5,187,3650,"FEMALE",9.61734,-24.66188
"308",43,"Chinstrap penguin (Pygoscelis antarctica)","Dream",50.9,19.1,196,3550,"MALE",10.02372,-24.86594
"309",44,"Chinstrap penguin (Pygoscelis antarctica)","Dream",45.5,17,196,3500,"FEMALE",9.36493,-24.66259
"310",45,"Chinstrap penguin (Pygoscelis antarctica)","Dream",50.9,17.9,196,3675,"FEMALE",9.43684,-24.16566
"311",46,"Chinstrap penguin (Pygoscelis antarctica)","Dream",50.8,18.5,201,4450,"MALE",9.45827,-24.35575
"312",47,"Chinstrap penguin (Pygoscelis antarctica)","Dream",50.1,17.9,190,3400,"FEMALE",9.46819,-24.45721
"313",48,"Chinstrap penguin (Pygoscelis antarctica)","Dream",49,19.6,212,4300,"MALE",9.34089,-24.45189
"314",49,"Chinstrap penguin (Pygoscelis antarctica)","Dream",51.5,18.7,187,3250,"MALE",9.6895,-24.43062
"315",50,"Chinstrap penguin (Pygoscelis antarctica)","Dream",49.8,17.3,198,3675,"FEMALE",9.32169,-24.41562
"316",51,"Chinstrap penguin (Pygoscelis antarctica)","Dream",48.1,16.4,199,3325,"FEMALE",9.46929,-24.48403
"317",52,"Chinstrap penguin (Pygoscelis antarctica)","Dream",51.4,19,201,3950,"MALE",9.43782,-24.36202
"318",53,"Chinstrap penguin (Pygoscelis antarctica)","Dream",45.7,17.3,193,3600,"FEMALE",9.415,-24.805
"319",54,"Chinstrap penguin (Pygoscelis antarctica)","Dream",50.7,19.7,203,4050,"MALE",9.93727,-24.59066
"320",55,"Chinstrap penguin (Pygoscelis antarctica)","Dream",42.5,17.3,187,3350,"FEMALE",9.56534,-24.60882
"321",56,"Chinstrap penguin (Pygoscelis antarctica)","Dream",52.2,18.8,197,3450,"MALE",9.77528,-24.56481
"322",57,"Chinstrap penguin (Pygoscelis antarctica)","Dream",45.2,16.6,191,3250,"FEMALE",9.62357,-24.78984
"323",58,"Chinstrap penguin (Pygoscelis antarctica)","Dream",49.3,19.9,203,4050,"MALE",9.88809,-24.59513
"324",59,"Chinstrap penguin (Pygoscelis antarctica)","Dream",50.2,18.8,202,3800,"MALE",9.74492,-24.404
"325",60,"Chinstrap penguin (Pygoscelis antarctica)","Dream",45.6,19.4,194,3525,"FEMALE",9.46985,-24.65786
"326",61,"Chinstrap penguin (Pygoscelis antarctica)","Dream",51.9,19.5,206,3950,"MALE",NA,-23.78767
"327",62,"Chinstrap penguin (Pygoscelis antarctica)","Dream",46.8,16.5,189,3650,"FEMALE",9.65061,-24.48153
"328",63,"Chinstrap penguin (Pygoscelis antarctica)","Dream",45.7,17,195,3650,"FEMALE",9.26715,-24.31912
"329",64,"Chinstrap penguin (Pygoscelis antarctica)","Dream",55.8,19.8,207,4000,"MALE",9.70465,-24.53494
"330",65,"Chinstrap penguin (Pygoscelis antarctica)","Dream",43.5,18.1,202,3400,"FEMALE",9.37608,-24.40753
"331",66,"Chinstrap penguin (Pygoscelis antarctica)","Dream",49.6,18.2,193,3775,"MALE",9.4618,-24.70615
"332",67,"Chinstrap penguin (Pygoscelis antarctica)","Dream",50.8,19,210,4100,"MALE",9.98044,-24.68741
"333",68,"Chinstrap penguin (Pygoscelis antarctica)","Dream",50.2,18.7,198,3775,"FEMALE",9.39305,-24.25255
